best fitness,average fitness, best performance
99.9714,98.7205,68.5714
99.9714,99.1855,68.5714
99.9714,97.5596,68.5714
99.9714,98.0109,68.5714
99.9714,99.262,68.5714
99.9714,99.2291,68.5714
99.9714,99.2847,68.5714
99.9714,99.0709,68.5714
99.9714,99.1151,68.5714
99.9714,98.8754,68.5714
99.9714,99.0766,68.5714
99.9714,99.2255,68.5714
99.9714,99.1723,68.5714
99.9714,98.0336,68.5714
99.9714,97.9515,68.5714
99.9714,98.8934,68.5714
99.9714,99.095,68.5714
99.9714,99.2031,68.5714
99.9714,99.2957,68.5714
99.9714,99.116,68.5714
99.9714,99.2971,68.5714
99.9714,98.7848,68.5714
99.9714,98.7439,68.5714
99.9714,99.2986,68.5714
99.9714,99.1511,68.5714
99.9714,99.3436,68.5714
99.9714,99.3451,68.5714
99.9714,99.3695,68.5714
99.9714,99.3782,68.5714
99.9714,99.384,68.5714
99.9714,99.3636,68.5714
99.9714,99.0503,68.5714
99.9714,98.0755,68.5714
99.9714,99.4307,68.5714
99.9714,98.5515,68.5714
99.9714,99.4689,68.5714
99.9714,99.1683,65.7143
99.9714,99.3885,65.7143
99.9714,99.3962,65.7143
99.9714,99.3953,65.7143
99.9714,99.5747,65.7143
99.9714,98.3187,65.7143
99.9714,99.5987,65.7143
99.9714,99.1788,65.7143
99.9714,98.2472,65.7143
99.9714,99.6215,65.7143
